2Oh  0  0  0  2Oh  1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48  1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48  A1g,A2g,Eg,T1g,T2g,G1g,G2g,Hg,A1u,A2u,Eu,T1u,T2u,G1u,G2u,Hu
2Oh  0  0  1  2C4v 1,4,7,10,13,16,19,48   2,3,5,6,38,39,44,45  A1,A2,B1,B2,E,G1,G2
2Oh  1  1  0  2C2v 1,38,44,48             4,7,39,45  A1,A2,B1,B2,G1
2Oh  1  1  1  2C3v 1,20,24,28,32,48       37,39,41,43,45,47  A1,A2,K1,K2,E,G1
